artist,genre,popularity
Queen,classic rock,191711573
Michael Jackson,pop,131160791
David Bowie,rock,193061649
Pink Floyd,Progressive rock,313236119
Led Zeppelin,classic rock,188306100
Aerosmith,rock,72269474
Johnny Cash,country,104272344
Jimi Hendrix,classic rock,72120942
AC/DC,hard rock,135355015
Bob Dylan,folk,154776081
Elton John,pop,49863371
Black Sabbath,heavy metal,100531599
Eric Clapton,classic rock,51150967
Elvis Presley,rock n roll,71070448
Simon & Garfunkel,folk,63047210
Creedence Clearwater Revival,classic rock,59206227
John Lennon,classic rock,37233044
Bruce Springsteen,rock,78820430
Fleetwood Mac,classic rock,67427254
Stevie Wonder,soul,40746287
Dire Straits,classic rock,55761163
Deep Purple,hard rock,52333132
Eagles,classic rock,34474549
Bob Marley,reggae,63414859
Joy Division,post-punk,100792059
Lynyrd Skynyrd,classic rock,31314805
Bob Marley & The Wailers,reggae,61433780
Marvin Gaye,soul,31977588
Cream,classic rock,24474369
Phil Collins,pop,30623404
Ramones,punk,72154072
Nina Simone,jazz,40198909
Billy Joel,classic rock,33653474
Neil Young,classic rock,63728946
Aretha Franklin,soul,26008269
Prince,funk,40705507
Blondie,new wave,29745302
Journey,classic rock,27519000
Ray Charles,jazz,26198061
Paul McCartney,classic rock,30917213
ABBA,pop,43698938
Scorpions,hard rock,51032860
KISS,hard rock,45259754
Talking Heads,new wave,48851820
James Brown,funk,22909752
Santana,rock,26524377
Jefferson Airplane,Psychedelic Rock,27925717
Motörhead,heavy metal,62554568
Lou Reed,rock,28321561
Miles Davis,jazz,49695219
Iggy Pop,punk,26065229
Electric Light Orchestra,classic rock,29528731
Bee Gees,Disco,21981146
Chuck Berry,Rock and Roll,16860769
Nick Drake,folk,44236873
Leonard Cohen,singer-songwriter,47136928
Janis Joplin,classic rock,23727484
Alice Cooper,hard rock,31288338
Judas Priest,heavy metal,63102557
Rod Stewart,classic rock,17331798
Paul Simon,singer-songwriter,27301399
Genesis,Progressive rock,37346915
Foreigner,classic rock,14780998
Al Green,soul,17687628
George Harrison,classic rock,20542553
Boston,classic rock,14794502
Hall & Oates,80s,15808430
Billy Idol,rock,16798702
Bill Withers,soul,13406368
Supertramp,classic rock,20147763
Earth, Wind & Fire,funk,15327911
Kansas,classic rock,13778139
Sex Pistols,punk,21543573
Kate Bush,female vocalists,40349519
Peter Gabriel,Progressive rock,23764503
Rush,Progressive rock,50497090
Joe Cocker,classic rock,12798220
Brian Eno,ambient,35057009
Steppenwolf,classic rock,8892568
Cher,pop,15975025
Simple Minds,new wave,13191593
Def Leppard,hard rock,22815895
Etta James,blues,12901219
Dusty Springfield,soul,11651838
Jethro Tull,Progressive rock,28687313
Survivor,rock,7794177
Kool & The Gang,funk,8714988
Roy Orbison,classic rock,12383506
T. Rex,glam rock,18606085
Heart,classic rock,11876842
Steve Miller Band,classic rock,10374405
Bing Crosby,jazz,10673211
Lionel Richie,soul,9342889
Joni Mitchell,folk,21826891
Nancy Sinatra,female vocalists,10092088
Chicago,classic rock,11726517
Elvis Costello,rock,18103106
Herbie Hancock,jazz,12674444
James Taylor,folk,13464993
B.B. King,blues,15020608
Kraftwerk,electronic,25360577
Dolly Parton,country,10441870
Bonnie Tyler,80s,7499260
The Doobie Brothers,classic rock,9199510
Diana Ross,soul,7491326
Grateful Dead,classic rock,30941695
Patti Smith,rock,15720322
Styx,classic rock,9654302
Misfits,horror punk,55415732
Frank Wilson,soul,8576772
Sly & the Family Stone,funk,10207121
Peggy Lee,jazz,6524623
Rainbow,hard rock,17833437
Donna Summer,Disco,8838002
America,classic rock,9987876
Men at Work,80s,7689650
Donovan,folk,10817444
Siouxsie and the Banshees,post-punk,22229130
Curtis Mayfield,soul,10218580
Carpenters,pop,12008093
Barry White,soul,9048808
Boney M.,Disco,8374694
Crosby, Stills, Nash & Young,classic rock,10094523
Roxy Music,glam rock,13792113
Neil Diamond,singer-songwriter,9721523
Mike Oldfield,Progressive rock,21454298
Derek and the Dominos,classic rock,6527691
Stevie Ray Vaughan,blues,10227592
Dead Kennedys,punk,21747166
Four Tops,soul,6944217
John Lee Hooker,blues,10553416
Cheap Trick,classic rock,8125556
Madness,ska,12849108
Frank Zappa,Progressive rock,36625207
Meat Loaf,rock,10772638
Commodores,soul,5133784
Devo,new wave,13981667
John Denver,country,7719351
Steely Dan,classic rock,18404158
Kenny Loggins,80s,5504355
Andy Williams,oldies,5999545
Pat Benatar,80s,6776618
Sarah Vaughan,jazz,7380155
REO Speedwagon,classic rock,6384051
Don McLean,classic rock,5823178
Don Henley,classic rock,5504972
John Mellencamp,rock,7299121
Chris Rea,rock,8901121
Jackson Browne,singer-songwriter,8055414
Buzzcocks,punk,12446287
10cc,classic rock,6099838
Wings,classic rock,6681166
Bad Company,classic rock,7643846
Luther Vandross,soul,5382499
Dexys Midnight Runners,new wave,4934772
Harry Nilsson,singer-songwriter,7309779
Isaac Hayes,soul,5100741
Perry Como,jazz,4527255
Brenda Lee,oldies,3829706
Gary Moore,blues,10955792
Jimmy Cliff,reggae,5382910
Nazareth,classic rock,7721246
Luke Bryan,country,9629162
Bob Seger,classic rock,5528698
Little Richard,Rock and Roll,5756840
Canned Heat,blues,5646731
Peter Tosh,reggae,6708661
