artist,genre,popularity
The Rolling Stones,classic rock,154106551
The Beatles,classic rock,517126254
David Bowie,rock,193061649
Pink Floyd,Progressive rock,313236119
Led Zeppelin,classic rock,188306100
Johnny Cash,country,104272344
The Who,classic rock,73125398
Jimi Hendrix,classic rock,72120942
Bob Dylan,folk,154776081
Elton John,pop,49863371
Black Sabbath,heavy metal,100531599
The Beach Boys,classic rock,69741270
Eric Clapton,classic rock,51150967
Elvis Presley,rock n roll,71070448
Simon & Garfunkel,folk,63047210
Creedence Clearwater Revival,classic rock,59206227
Frank Sinatra,jazz,65804306
John Lennon,classic rock,37233044
Fleetwood Mac,classic rock,67427254
Stevie Wonder,soul,40746287
Deep Purple,hard rock,52333132
The Kinks,classic rock,50814188
Lynyrd Skynyrd,classic rock,31314805
Marvin Gaye,soul,31977588
Cream,classic rock,24474369
Nina Simone,jazz,40198909
Neil Young,classic rock,63728946
Aretha Franklin,soul,26008269
Louis Armstrong,jazz,25814261
Ray Charles,jazz,26198061
Paul McCartney,classic rock,30917213
Ella Fitzgerald,jazz,28085788
James Brown,funk,22909752
Santana,rock,26524377
Jefferson Airplane,Psychedelic Rock,27925717
Lou Reed,rock,28321561
Miles Davis,jazz,49695219
Iggy Pop,punk,26065229
Nat King Cole,jazz,18655295
Bee Gees,Disco,21981146
Chuck Berry,Rock and Roll,16860769
Nick Drake,folk,44236873
Otis Redding,soul,23946904
Leonard Cohen,singer-songwriter,47136928
Janis Joplin,classic rock,23727484
Duffy,soul,21192860
Alice Cooper,hard rock,31288338
Rod Stewart,classic rock,17331798
The Animals,classic rock,13159858
Paul Simon,singer-songwriter,27301399
Genesis,Progressive rock,37346915
Al Green,soul,17687628
George Harrison,classic rock,20542553
Dean Martin,jazz,15877991
Bill Withers,soul,13406368
The Byrds,classic rock,14594944
The Mamas & the Papas,classic rock,11962858
Joe Cocker,classic rock,12798220
Ennio Morricone,Soundtrack,26054543
Steppenwolf,classic rock,8892568
Cher,pop,15975025
Etta James,blues,12901219
Dusty Springfield,soul,11651838
Jethro Tull,Progressive rock,28687313
Roy Orbison,classic rock,12383506
T. Rex,glam rock,18606085
John Coltrane,jazz,22745928
Heart,classic rock,11876842
Steve Miller Band,classic rock,10374405
Bing Crosby,jazz,10673211
The Yardbirds,classic rock,9513891
Joni Mitchell,folk,21826891
Nancy Sinatra,female vocalists,10092088
Chicago,classic rock,11726517
Sam Cooke,soul,15254753
James Taylor,folk,13464993
B.B. King,blues,15020608
Dolly Parton,country,10441870
Buffalo Springfield,classic rock,8338244
The Zombies,60s,13818903
The Hollies,60s,7594402
Diana Ross,soul,7491326
Grateful Dead,classic rock,30941695
Styx,classic rock,9654302
Buddy Holly,rockabilly,11537106
Frank Wilson,soul,8576772
Sly & the Family Stone,funk,10207121
Peggy Lee,jazz,6524623
The Monkees,60s,8700450
Donovan,folk,10817444
Curtis Mayfield,soul,10218580
Carpenters,pop,12008093
Crosby, Stills, Nash & Young,classic rock,10094523
Neil Diamond,singer-songwriter,9721523
Derek and the Dominos,classic rock,6527691
Four Tops,soul,6944217
Muddy Waters,blues,11459992
John Lee Hooker,blues,10553416
Frank Zappa,Progressive rock,36625207
The Moody Blues,classic rock,10083951
John Denver,country,7719351
Andy Williams,oldies,5999545
Sarah Vaughan,jazz,7380155
Don McLean,classic rock,5823178
Dinah Washington,jazz,6022427
Ben E. King,soul,4478774
Jackson Browne,singer-songwriter,8055414
The Ronettes,60s,5053988
The Turtles,60s,5414527
Harry Nilsson,singer-songwriter,7309779
Isaac Hayes,soul,5100741
Bobby Darin,jazz,5242038
Perry Como,jazz,4527255
Brenda Lee,oldies,3829706
Julie London,jazz,6407834
Jimmy Cliff,reggae,5382910
Bob Seger,classic rock,5528698
Little Richard,Rock and Roll,5756840
Canned Heat,blues,5646731
Carole King,singer-songwriter,7222840
Status Quo,classic rock,7599824
Free,classic rock,5390682
Dave Brubeck,jazz,7377850
Crosby, Stills & Nash,classic rock,7195477
The Miracles,soul,4599005
Bill Evans,jazz,12366054
Carly Simon,female vocalists,4719346
Jerry Lee Lewis,rockabilly,5536864
The Drifters,soul,4013518
The Drifters,soul,4013518
The Drifters,soul,4013518
Jeff Beck,classic rock,7581322
Nico,folk,8221077
Joan Baez,folk,6936333
Stevie Nicks,female vocalists,7051753
The Everly Brothers,oldies,5196615
Doris Day,jazz,4007987
Procol Harum,Progressive rock,4761059
Gladys Knight & The Pips,soul,3404463
Serge Gainsbourg,french,15385564
The Troggs,classic rock,3427339
Sam & Dave,soul,3642655
Funkadelic,funk,8357834
Patsy Cline,country,5584573
Robert Plant,classic rock,6605441
Astrud Gilberto,Bossa Nova,7019789
Barbra Streisand,female vocalists,6932264
Buddy Guy,blues,6091719
Love,psychedelic,8361296
Love,psychedelic,8361296
Love,psychedelic,8361296
Love,psychedelic,8361296
Martha Reeves and The Vandellas,soul,3494330
Mott the Hoople,glam rock,3430658
Syd Barrett,psychedelic,9329250
The Righteous Brothers,oldies,3248620
Antônio Carlos Jobim,Bossa Nova,9418649
Caetano Veloso,mpb,17843248
Steve Winwood,classic rock,3713074
George Benson,jazz,5472711
Hot Chocolate,Disco,2755705
The Platters,oldies,3394931
Ringo Starr,classic rock,3429877
Stealers Wheel,classic rock,2901313
King Crimson,Progressive rock,25939934
Dionne Warwick,soul,3946956
Bobby Helms,country,1644695
Captain Beefheart & His Magic Band,experimental,11381219
