artist,genre,popularity
Coldplay,rock,360111850
Radiohead,alternative,499548797
Red Hot Chili Peppers,rock,293784041
Rihanna,pop,199248986
Eminem,rap,199507511
Kanye West,Hip-Hop,238603850
Muse,alternative rock,344838631
Foo Fighters,rock,194253620
Linkin Park,rock,294986508
Lady Gaga,pop,285469647
Daft Punk,electronic,209502122
Green Day,punk rock,188558689
Katy Perry,pop,146330284
Oasis,britpop,150683301
Gorillaz,alternative,169844826
Beyoncé,rnb,153947081
Maroon 5,rock,118003794
Arctic Monkeys,indie rock,332306552
System of a Down,metal,226695285
Kings of Leon,rock,169728792
Drake,Hip-Hop,140245379
David Bowie,rock,193061649
Britney Spears,pop,201961724
Franz Ferdinand,indie,113191642
JAY-Z,Hip-Hop,85047192
Madonna,pop,154336623
Snow Patrol,indie,89077807
Beck,alternative,102281190
R.E.M.,rock,93258977
Adele,soul,128162302
Death Cab for Cutie,indie,167954728
Nickelback,rock,84126122
Justin Timberlake,pop,73976022
MGMT,electronic,97241721
Christina Aguilera,pop,128756438
David Guetta,House,88750979
Fall Out Boy,pop punk,146706443
Depeche Mode,electronic,165330799
Moby,electronic,94156879
50 Cent,rap,39383493
Placebo,alternative rock,188389930
Avril Lavigne,pop,115252437
Chris Brown,rnb,47604118
Chris Brown,rnb,47604118
Chris Brown,rnb,47604118
Chris Brown,rnb,47604118
Christopher Brown,rnb,47604118
Incubus,alternative rock,111190422
Arcade Fire,indie,183170673
Korn,Nu Metal,129766477
3 Doors Down,rock,59089175
Amy Winehouse,soul,94539297
Bloc Party,indie,106931429
OutKast,Hip-Hop,48749317
Elton John,pop,49863371
P!nk,pop,68613195
Snoop Dogg,Hip-Hop,39079490
Kid Cudi,Hip-Hop,72090030
Kesha,pop,95346150
Paramore,rock,186641835
Queens of the Stone Age,Stoner Rock,140941461
Mariah Carey,pop,74250907
John Mayer,singer-songwriter,110319385
Kasabian,indie,83211561
Kelly Clarkson,pop,64551596
T.I.,Hip-Hop,32407489
Keane,britpop,66916305
Florence + the Machine,indie,170515751
Modest Mouse,indie,124614698
Evanescence,rock,103286991
My Chemical Romance,rock,124480949
Bon Jovi,rock,64020436
Shakira,pop,69004922
Dr. Dre,Hip-Hop,38888220
Alicia Keys,soul,50639370
Limp Bizkit,Nu Metal,73617304
OneRepublic,rock,62846148
Kaiser Chiefs,indie,49817025
Jason Mraz,singer-songwriter,62012330
Interpol,indie,119327712
Beastie Boys,Hip-Hop,74172611
Nelly Furtado,pop,43050572
Marilyn Manson,industrial,122282756
Audioslave,rock,54744897
Taylor Swift,country,171760219
Panic! at the Disco,rock,111069567
Calvin Harris,electronic,73336455
Björk,electronic,113183032
Nine Inch Nails,industrial,180102264
Lily Allen,pop,68840145
Bruce Springsteen,rock,78820430
Gwen Stefani,pop,31420592
Air,electronic,88645731
Flo Rida,Hip-Hop,32287156
Sia,female vocalists,80113588
Jennifer Lopez,pop,34638806
Jimmy Eat World,rock,69412453
Goo Goo Dolls,rock,38489009
Iron & Wine,folk,72467229
Norah Jones,jazz,66809058
James Blunt,pop,42415012
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Phoenix,indie,78553113
Miley Cyrus,pop,64095313
Lupe Fiasco,Hip-Hop,40441463
No Doubt,rock,40846213
Akon,Hip-Hop,24788767
Pitbull,Hip-Hop,33712665
Breaking Benjamin,alternative rock,75582556
Bon Iver,folk,118007303
Feist,female vocalists,68418397
Feist,female vocalists,68418397
Leslie Feist,female vocalists,68418397
Counting Crows,rock,35525365
Kylie Minogue,pop,69598187
Sufjan Stevens,indie,124770285
Ludacris,rap,20015486
Ellie Goulding,female vocalists,82384090
Dido,pop,37263646
Nelly,Hip-Hop,17454627
M83,electronic,83470493
Jason Derulo,rnb,27564385
Robbie Williams,pop,42651163
Alanis Morissette,female vocalists,46666864
Bright Eyes,indie,87036919
Regina Spektor,female vocalists,86879173
M.I.A.,Hip-Hop,58452171
Fergie,pop,21786732
Michael Bublé,jazz,51141689
Lenny Kravitz,rock,29353638
Good Charlotte,punk rock,47175379
Sting,rock,37507477
Hoobastank,rock,29014005
Damien Rice,singer-songwriter,53578954
Neil Young,classic rock,63728946
Jet,rock,24002742
Jet,rock,24002742
Jet,rock,24002742
John Legend,soul,31199454
Foster the People,indie,56883143
Deftones,Nu Metal,99368336
Band of Horses,indie,55134415
Prince,funk,40705507
Justice,electronic,57881970
Goldfrapp,electronic,46535784
Belle and Sebastian,indie,92270551
Ciara,rnb,21678350
Passion Pit,electronic,48411605
Leona Lewis,pop,27154912
Elliott Smith,singer-songwriter,101675587
Simple Plan,rock,43825088
Paul McCartney,classic rock,30917213
Editors,seen live,53923378
MIKA,pop,40391220
Cat Power,indie,64565369
José González,acoustic,42433187
CAKE,alternative,43102683
Justin Bieber,pop,53649697
Fleet Foxes,folk,67465906
Ed Sheeran,acoustic,85083256
LCD Soundsystem,electronic,49490059
Sonic Youth,alternative,67259569
Stereophonics,rock,36351999
Seether,rock,42999302
Gnarls Barkley,funk,28003997
A Perfect Circle,alternative rock,75484129
Garbage,rock,46795314
Lifehouse,rock,37584837
Lykke Li,indie pop,55416948
Santana,rock,26524377
B.o.B,Hip-Hop,24089009
Bloodhound Gang,rock,32919481
Enrique Iglesias,pop,28799602
Spoon,indie,47029224
Crystal Castles,electronic,102224554
Staind,rock,30489342
Taio Cruz,rnb,16670713
Iggy Pop,punk,26065229
Fabolous,Hip-Hop,11609028
Metric,indie,62407392
EELS,indie,48811474
George Michael,pop,21432345
Cyndi Lauper,80s,16925460
Hot Chip,electronic,45412531
PJ Harvey,female vocalists,59358104
R. Kelly,rnb,15193720
Foals,indie,67997385
Razorlight,indie,22959186
Broken Social Scene,indie,53586116
James Morrison,singer-songwriter,22597493
Imogen Heap,female vocalists,36973937
Colbie Caillat,female vocalists,23040623
Backstreet Boys,pop,30799334
Natasha Bedingfield,pop,16616110
TV on the Radio,indie,41588227
Owl City,electronic,46509829
Sarah McLachlan,female vocalists,22410411
Klaxons,new rave,31693882
Groove Armada,electronic,24093780
Creed,rock,25018212
Sean Paul,dancehall,17370441
Duffy,soul,21192860
Sara Bareilles,female vocalists,27242744
Grizzly Bear,indie,54312987
Céline Dion,pop,26527944
Matchbox Twenty,rock,25538862
Dave Matthews Band,rock,46135861
N*E*R*D,Hip-Hop,20635614
Fiona Apple,female vocalists,35689240
Beirut,folk,78774202
Gotye,indie,29454994
Kings of Convenience,indie,55238021
Cold War Kids,indie,27781314
Drowning Pool,Nu Metal,22147618
La Roux,electropop,32099177
Common,Hip-Hop,23723205
Ben Harper,singer-songwriter,22829216
Empire of the Sun,electronic,29885144
Mary J. Blige,rnb,15708429
KT Tunstall,female vocalists,23596968
Animal Collective,experimental,79105390
Demi Lovato,pop,60002694
Nick Cave & The Bad Seeds,post-punk,61295088
Janet Jackson,pop,22372696
Kelis,rnb,14286989
Gucci Mane,Hip-Hop,18277854
OK Go,indie,24272783
Sheryl Crow,female vocalists,15230162
Robyn,pop,36446361
Pharrell Williams,Hip-Hop,16682057
Black Rebel Motorcycle Club,rock,35934671
Peter Bjorn and John,indie,23277072
Scissor Sisters,pop,26434205
Major Lazer,seen live,32468284
Brand New,emo,88033618
Kate Nash,female vocalists,32269731
MARINA,female vocalists,74437496
Morrissey,indie,54059920
Cage the Elephant,indie rock,29364309
Pet Shop Boys,synthpop,33529658
Missy Elliott,Hip-Hop,13300552
Dashboard Confessional,emo,37169252
Smash Mouth,rock,12377533
Andrew Bird,indie,47991856
Beach House,dream pop,70580349
Mark Ronson,funk,18142041
Ryan Adams,singer-songwriter,41956467
Keri Hilson,rnb,10966920
Natalie Imbruglia,pop,13706707
Corinne Bailey Rae,soul,15530847
Basement Jaxx,electronic,20845555
Daughtry,rock,25727067
Bat for Lashes,female vocalists,36829533
TLC,rnb,10999932
Shinedown,rock,34365696
Kate Bush,female vocalists,40349519
Miike Snow,electronic,26942931
Cut Copy,electronic,33433852
Peter Gabriel,Progressive rock,23764503
Edward Sharpe and the Magnetic Zeros,folk,24581833
Benny Benassi,electronic,12581100
David Gray,singer-songwriter,17835977
Kelly Rowland,rnb,11423591
Ray LaMontagne,folk,20252528
Puddle of Mudd,rock,15297317
Bombay Bicycle Club,indie,35952270
Robin Thicke,soul,14054066
Tame Impala,Psychedelic Rock,72595729
Paolo Nutini,singer-songwriter,23642182
Joe Cocker,classic rock,12798220
Gavin DeGraw,singer-songwriter,16045223
Stars,indie,39460860
Cher,pop,15975025
Simple Minds,new wave,13191593
Sugababes,pop,16748222
Alien Ant Farm,rock,12998049
Santigold,electronic,27894666
Aaliyah,rnb,13851624
Chevelle,alternative rock,28034487
Seal,soul,13377502
Rufus Wainwright,singer-songwriter,21974225
Carly Rae Jepsen,pop,31883568
Manic Street Preachers,rock,35901685
Cascada,dance,20394171
Supergrass,britpop,14692574
Doves,indie,18165676
Angus & Julia Stone,folk,32181979
Maxïmo Park,seen live,28077886
Erykah Badu,soul,24178101
Jamie Cullum,jazz,20598647
Laura Marling,folk,29762374
Moloko,electronic,18063398
Joss Stone,soul,17229460
Mario,rnb,7163539
Ingrid Michaelson,female vocalists,22489233
Devendra Banhart,folk,45378478
Glee Cast,musical,96192853
LĪVE,rock,16634677
Elbow,indie,27007523
Carrie Underwood,country,20021495
311,alternative,21081732
Digitalism,electronic,22451733
Noah and the Whale,folk,23461597
RJD2,Hip-Hop,27369549
Barenaked Ladies,rock,19962329
Flyleaf,alternative rock,30550332
Five Finger Death Punch,metalcore,41008656
Primal Scream,rock,17058551
Broken Bells,indie,22573854
Rilo Kiley,indie,33221067
Ladytron,electronic,32501385
My Morning Jacket,indie,24882743
Joshua Radin,acoustic,19661837
Shaggy,reggae,7498851
Selena Gomez & The Scene,pop,19293669
Nouvelle Vague,Bossa Nova,30938881
Disclosure,electronic,32048778
Jay Sean,rnb,9518829
Nicole Scherzinger,pop,12883036
Selena Gomez,pop,39534780
Lady Antebellum,country,14896242
Elvis Costello,rock,18103106
Frou Frou,indie,16220375
Far East Movement,Hip-Hop,11877264
Eddie Vedder,singer-songwriter,30639682
Clap Your Hands Say Yeah,indie,19746865
Jeremih,rnb,8608113
Gossip,indie,22032366
St. Vincent,seen live,36168735
Silverchair,Grunge,20089423
Hilary Duff,pop,20258196
Ace of Base,pop,11853697
Friendly Fires,electronic,20137085
Cobra Starship,pop punk,25159407
*NSYNC,pop,12684440
Shania Twain,country,12452412
3OH!3,electronic,29016102
Chamillionaire,rap,9761659
Babyshambles,indie,24467039
Portugal. The Man,experimental,36459586
Bowling for Soup,pop punk,17106658
Ratatat,electronic,46791633
Sixpence None the Richer,pop,8876099
Saliva,hard rock,12044695
Passenger,folk,19998736
Passenger,folk,19998736
Passenger,folk,19998736
Passenger,folk,19998736
Passenger,folk,19998736
Passenger,folk,19998736
Passenger,folk,19998736
Caribou,electronic,29522583
Howie Day,singer-songwriter,9301837
Ben Folds,singer-songwriter,25559418
Collective Soul,rock,11678437
Four Tet,electronic,28210897
Everclear,rock,10930249
Nada Surf,indie,20620816
CeeLo Green,soul,11683956
Emilíana Torrini,icelandic,19196564
Jordin Sparks,pop,10565663
Biffy Clyro,seen live,40825741
Christina Perri,female vocalists,12981717
Architecture in Helsinki,indie,24584574
Amy Macdonald,female vocalists,22865491
Katie Melua,jazz,22587371
Patti Smith,rock,15720322
Hot Hot Heat,indie,15443057
Fuel,rock,9983264
Annie Lennox,female vocalists,9733484
Mando Diao,seen live,34179220
Angels & Airwaves,alternative,31976708
CSS,electronic,23840633
Silversun Pickups,indie rock,26660315
Chris Cornell,rock,14491524
Rascal Flatts,country,12791713
Athlete,indie,12316694
Finger Eleven,alternative rock,11826344
Brandy,rnb,10106683
Ashlee Simpson,pop,11968772
Jack White,rock,21783570
Anberlin,rock,38964144
Jewel,female vocalists,10845855
JoJo,pop,11735578
Simply Red,pop,11288138
Grouplove,indie,14413569
Fever Ray,electronic,25208095
Craig David,rnb,10340221
Metronomy,electronic,32172305
Bob Sinclar,House,7854983
Story of the Year,post-hardcore,20857870
Clean Bandit,electronic,17670405
Everything but the Girl,electronic,10812549
Pixie Lott,pop,12378388
Matt & Kim,seen live,17904840
Kenny Chesney,country,11641283
Deerhunter,shoegaze,39954780
Simian Mobile Disco,electronic,14556444
Ra Ra Riot,indie,13540968
M. Ward,folk,20176848
Camera Obscura,indie pop,24349920
Take That,pop,15103164
Neil Diamond,singer-songwriter,9721523
Phantom Planet,rock,9531303
Alkaline Trio,punk,46135221
CocoRosie,indie,33681716
Lloyd,rnb,5566003
Alter Bridge,rock,28757546
Mastodon,Progressive metal,50230298
Daniel Powter,pop,6764854
Built to Spill,indie rock,23227354
Ginuwine,rnb,5378873
Serj Tankian,alternative metal,30320566
Pink,pop,14531681
Pink,pop,14531681
Blonde Redhead,indie,26491157
Dinosaur Jr.,alternative,25181343
Macy Gray,soul,7808363
Erasure,80s,12023330
Adema,Nu Metal,13680091
G-Unit,rap,5179365
Starsailor,indie,10737063
Aloe Blacc,soul,9825142
Ashanti,rnb,6072960
Bow Wow,Hip-Hop,4086015
Miguel,rnb,13711289
Death From Above,indie,23654459
Olly Murs,pop,12971888
Matt Nathanson,singer-songwriter,11135180
Chris Isaak,rock,10184482
Amos Lee,singer-songwriter,11079666
She & Him,folk,30933296
Cheap Trick,classic rock,8125556
Eagles of Death Metal,seen live,20650632
Gary Jules,singer-songwriter,8235459
Dizzee Rascal,Grime,12994975
Lindsay Lohan,pop,9302492
Keith Urban,country,11724230
Jamie Foxx,rnb,5621047
