artist,genre,popularity
Johnny Cash,country,104272344
Elvis Presley,rock n roll,71070448
Frank Sinatra,jazz,65804306
Nina Simone,jazz,40198909
Louis Armstrong,jazz,25814261
Ray Charles,jazz,26198061
Ella Fitzgerald,jazz,28085788
James Brown,funk,22909752
Miles Davis,jazz,49695219
Nat King Cole,jazz,18655295
Chuck Berry,Rock and Roll,16860769
Dean Martin,jazz,15877991
Etta James,blues,12901219
Roy Orbison,classic rock,12383506
Bing Crosby,jazz,10673211
Sam Cooke,soul,15254753
B.B. King,blues,15020608
Duke Ellington,jazz,12486405
Buddy Holly,rockabilly,11537106
Peggy Lee,jazz,6524623
Chet Baker,jazz,17744521
Muddy Waters,blues,11459992
John Lee Hooker,blues,10553416
Andy Williams,oldies,5999545
Sarah Vaughan,jazz,7380155
Dinah Washington,jazz,6022427
Ben E. King,soul,4478774
Bobby Darin,jazz,5242038
Perry Como,jazz,4527255
Brenda Lee,oldies,3829706
Julie London,jazz,6407834
Little Richard,Rock and Roll,5756840
Charlie Parker,jazz,10001724
Dave Brubeck,jazz,7377850
Hank Williams,country,7747009
Jerry Lee Lewis,rockabilly,5536864
Doris Day,jazz,4007987
Glenn Miller,jazz,5953350
Serge Gainsbourg,french,15385564
Patsy Cline,country,5584573
Barbra Streisand,female vocalists,6932264
Mel Tormé,jazz,2908101
Bobby Helms,country,1644695
Eartha Kitt,jazz,2500972
Fats Domino,blues,3841666
Johnny Mathis,oldies,2959931
Sonny Rollins,jazz,4622320
Count Basie,jazz,4492865
Jackie Wilson,soul,3001698
Rosemary Clooney,jazz,2617773
Dizzy Gillespie,jazz,4102627
Bo Diddley,blues,3779636
Shirley Bassey,jazz,3875539
Eddie Cochran,rockabilly,3386269
Judy Garland,jazz,2847738
Henry Mancini,Soundtrack,4695931
Cliff Richard,oldies,2975620
Sammy Davis Jr.,jazz,2733908
Harry Belafonte,calypso,3248468
Burl Ives,folk,2373097
Ricky Nelson,rockabilly,2667024
Paul Anka,swing,3271162
Louis Prima,swing,3211537
Nancy Wilson,jazz,2521985
Oscar Peterson,jazz,4793418
Del Shannon,60s,2636134
Bill Haley and His Comets,rockabilly,2185406
Bernard Herrmann,Soundtrack,2960726
Gene Autry,country,1676116
Chubby Checker,Rock and Roll,1952883
Carl Perkins,rockabilly,2148526
Sérgio Mendes,Bossa Nova,3631218
