artist,genre,popularity
Taproot,Nu Metal,7270177
Barbra Streisand,female vocalists,6932264
Jagged Edge,rnb,3780941
Big L,Hip-Hop,8136328
Maxwell,soul,6536714
Baby Bash,Hip-Hop,2882235
Joe Satriani,guitar virtuoso,22451067
Our Lady Peace,rock,11705994
Saves the Day,emo,22213135
Eric B. & Rakim,Hip-Hop,4609513
Lisa Loeb,female vocalists,4203907
Jean-Michel Jarre,electronic,14024480
Autechre,idm,20742717
Juicy J,Hip-Hop,6897299
Tonic,rock,3949663
Ocean Colour Scene,britpop,5771493
Caetano Veloso,mpb,17843248
Mudhoney,Grunge,6674075
Gomez,indie,8836547
Chris de Burgh,pop,4862364
Bryan Ferry,glam rock,6185394
Pink Martini,jazz,8898253
Embrace,britpop,5874237
Embrace,britpop,5874237
Embrace,britpop,5874237
Embrace,britpop,5874237
Hot Chocolate,Disco,2755705
Quiet Riot,heavy metal,4257720
Black Star,Hip-Hop,6363123
Ani DiFranco,folk,14273199
Natalie Cole,jazz,3557250
Ringo Starr,classic rock,3429877
Air Supply,80s,4694151
Paul Weller,rock,8807966
EVE,Hip-Hop,3313561
EVE,Hip-Hop,3313561
Eve,Hip-Hop,3313561
Eve,Hip-Hop,3313561
Eve,Hip-Hop,3313561
Eve,Hip-Hop,3313561
Jarkko Eve,Hip-Hop,3313561
Mýa,rnb,3478752
112,rnb,3182684
Destroyer,indie,14143026
Coal Chamber,Nu Metal,7036397
Gloria Estefan,latin,4304867
Screaming Trees,Grunge,6307061
Bobby Helms,country,1644695
Inner Circle,reggae,3048126
Blues Traveler,blues,4884788
Dead Can Dance,ambient,28920722
Joan Osborne,female vocalists,3557514
Crash Test Dummies,rock,4998535
Kyuss,Stoner Rock,24119207
Vanilla Ice,rap,1999730
Morphine,jazz,19581939
Ian Brown,indie,7740133
Marillion,Progressive rock,16410185
Brian McKnight,rnb,4062959
CKY,rock,10466132
Natalie Merchant,female vocalists,5788797
Richard Marx,80s,4018098
Guided by Voices,Lo-Fi,22161542
Kenny Rogers,country,3983711
Michael Bolton,pop,3785409
Melanie C,pop,6773527
GusGus,electronic,7867018
Buckcherry,hard rock,7363968
Liz Phair,female vocalists,7372653
Smoke City,trip-hop,4041472
José Feliciano,latin,2314353
Cinderella,hard rock,5990549
Asia,Progressive rock,5176851
Redman,Hip-Hop,6164906
