artist,genre,popularity
Red Hot Chili Peppers,rock,293784041
Queen,classic rock,191711573
Michael Jackson,pop,131160791
David Bowie,rock,193061649
Madonna,pop,154336623
Pink Floyd,Progressive rock,313236119
The Cure,post-punk,156234819
Led Zeppelin,classic rock,188306100
Aerosmith,rock,72269474
Metallica,thrash metal,281172228
R.E.M.,rock,93258977
Johnny Cash,country,104272344
AC/DC,hard rock,135355015
Depeche Mode,electronic,165330799
Bob Dylan,folk,154776081
Elton John,pop,49863371
Mariah Carey,pop,74250907
Black Sabbath,heavy metal,100531599
Eric Clapton,classic rock,51150967
Simon & Garfunkel,folk,63047210
Frank Sinatra,jazz,65804306
Bon Jovi,rock,64020436
Pixies,alternative,101636787
The Smiths,indie,158731329
The Police,rock,44685580
Beastie Boys,Hip-Hop,74172611
Calvin Harris,electronic,73336455
Nine Inch Nails,industrial,180102264
John Lennon,classic rock,37233044
Bruce Springsteen,rock,78820430
Fleetwood Mac,classic rock,67427254
Stevie Wonder,soul,40746287
Dire Straits,classic rock,55761163
Deep Purple,hard rock,52333132
Iron Maiden,heavy metal,167349065
Goo Goo Dolls,rock,38489009
Eagles,classic rock,34474549
No Doubt,rock,40846213
Joy Division,post-punk,100792059
Kylie Minogue,pop,69598187
Lynyrd Skynyrd,classic rock,31314805
Bob Marley & The Wailers,reggae,61433780
Marvin Gaye,soul,31977588
Soundgarden,Grunge,45579038
Robbie Williams,pop,42651163
Alanis Morissette,female vocalists,46666864
Phil Collins,pop,30623404
Ramones,punk,72154072
New Order,new wave,53934046
Lenny Kravitz,rock,29353638
Sting,rock,37507477
Van Halen,hard rock,37647427
Ozzy Osbourne,heavy metal,47084566
Billy Joel,classic rock,33653474
Bryan Adams,rock,27491101
Neil Young,classic rock,63728946
Aretha Franklin,soul,26008269
Prince,funk,40705507
Blondie,new wave,29745302
Journey,classic rock,27519000
Paul McCartney,classic rock,30917213
ABBA,pop,43698938
Scorpions,hard rock,51032860
KISS,hard rock,45259754
Sonic Youth,alternative,67259569
Talking Heads,new wave,48851820
Jeff Buckley,singer-songwriter,37028734
Duran Duran,new wave,27845202
James Brown,funk,22909752
Santana,rock,26524377
Pantera,thrash metal,65635616
Motörhead,heavy metal,62554568
Lou Reed,rock,28321561
Ice Cube,rap,21023225
Iggy Pop,punk,26065229
George Michael,pop,21432345
Cyndi Lauper,80s,16925460
Electric Light Orchestra,classic rock,29528731
Tears for Fears,new wave,22404192
Eurythmics,80s,15480404
Bee Gees,Disco,21981146
Toto,rock,21326087
Megadeth,thrash metal,97607491
Leonard Cohen,singer-songwriter,47136928
Sarah McLachlan,female vocalists,22410411
Céline Dion,pop,26527944
Alice Cooper,hard rock,31288338
Slayer,thrash metal,82268722
Judas Priest,heavy metal,63102557
Rod Stewart,classic rock,17331798
Paul Simon,singer-songwriter,27301399
Enya,new age,50628706
Genesis,Progressive rock,37346915
Foreigner,classic rock,14780998
Al Green,soul,17687628
George Harrison,classic rock,20542553
Nick Cave & The Bad Seeds,post-punk,61295088
Boston,classic rock,14794502
Janet Jackson,pop,22372696
Hall & Oates,80s,15808430
Sade,soul,27565450
Billy Idol,rock,16798702
Faith No More,alternative rock,44339407
Scissor Sisters,pop,26434205
Wham!,80s,9103738
Morrissey,indie,54059920
Pet Shop Boys,synthpop,33529658
Bill Withers,soul,13406368
Supertramp,classic rock,20147763
Earth, Wind & Fire,funk,15327911
TLC,rnb,10999932
Kansas,classic rock,13778139
Tom Petty and the Heartbreakers,classic rock,21367181
Kate Bush,female vocalists,40349519
INXS,rock,17983947
Cut Copy,electronic,33433852
Peter Gabriel,Progressive rock,23764503
Roxette,pop,23037313
Pulp,britpop,29505476
Whitesnake,hard rock,19969448
Bad Religion,punk,67306651
Rush,Progressive rock,50497090
Joe Cocker,classic rock,12798220
Gavin DeGraw,singer-songwriter,16045223
Brian Eno,ambient,35057009
Cher,pop,15975025
Simple Minds,new wave,13191593
Def Leppard,hard rock,22815895
Dusty Springfield,soul,11651838
Seal,soul,13377502
NOFX,punk,58697749
Tom Petty,classic rock,14242894
